date,Open,High,Low,Close,Vol,Change %
12/15/2015,37.89,39.41,37.55,38.45,73.7,0.014
12/14/2015,37.85,38.43,36.33,37.92,115.12,-0.0003
12/11/2015,39.55,39.74,37.36,37.93,167.31,-0.0453
12/10/2015,40.44,40.7,39.46,39.73,188.99,-0.0095
12/09/2015,40.63,41.59,39.57,40.11,284.65,-0.0037
12/08/2015,40.82,41.45,39.81,40.26,328.38,-0.0115
12/07/2015,43.26,43.26,40.6,40.73,272.44,-0.0528
12/04/2015,43.98,44.82,42.67,43,345.83,-0.0192
12/03/2015,42.77,44.69,42.61,43.84,271.48,0.0318
12/02/2015,44.32,44.64,42.43,42.49,324.06,-0.0439
12/01/2015,44.62,45.18,44.03,44.44,301.2,-0.0038
11/30/2015,44.86,45.75,44.44,44.61,235.94,-0.0056
11/27/2015,45.57,45.63,44.79,44.86,165.31,-0.0132
11/26/2015,46.23,46.32,45,45.46,97.32,-0.0154
11/25/2015,46.04,46.5,45.03,46.17,229.11,0.0011
11/24/2015,45.11,46.5,44.92,46.12,271.93,0.0288
11/23/2015,44.46,45.73,43.57,44.83,291,0.0038
11/20/2015,44.38,45.5,44.06,44.66,245.34,0.0109
11/19/2015,44.3,44.76,43.7,44.18,201.03,0.0009
11/18/2015,43.97,44.74,43.34,44.14,255.68,0.0131
11/17/2015,44.7,45.1,43.5,43.57,260.7,-0.0222
11/16/2015,44.7,45.18,43.15,44.56,310.12,0.0218
11/13/2015,44.08,44.85,43.57,43.61,28.63,-0.0102
11/12/2015,45.92,46.27,43.89,44.06,132.49,-0.0382
11/11/2015,47.08,47.73,45.62,45.81,193.34,-0.0344
11/10/2015,47.32,47.86,46.96,47.44,206.34,0.0053
11/09/2015,47.46,48.41,47.01,47.19,202.18,-0.0049
11/06/2015,48.05,48.58,47.27,47.42,245.49,-0.0117
11/05/2015,48.84,49,47.93,47.98,228,-0.0124
11/04/2015,50.25,50.87,48.49,48.58,328.14,-0.0388
11/03/2015,48.9,50.91,48.46,50.54,283.36,0.0359
11/02/2015,49.5,49.69,48.61,48.79,224.28,-0.0155
10/30/2015,48.66,50,48.28,49.56,238.59,0.0156
10/29/2015,49.15,49.38,48.17,48.8,213.93,-0.0051
10/28/2015,46.91,49.23,46.61,49.05,306.6,0.0479
10/27/2015,47.43,47.57,46.41,46.81,243.11,-0.0154
10/26/2015,48,48.33,47.3,47.54,193.98,-0.0094
10/23/2015,48.32,48.65,47.45,47.99,242.06,-0.0019
10/22/2015,47.96,48.73,47.65,48.08,201.59,0.0048
10/21/2015,48.58,48.65,47.5,47.85,244.64,-0.0177
10/20/2015,48.83,49.2,48.22,48.71,253.32,0.0021
10/19/2015,50.38,50.68,48.57,48.61,223.31,-0.0367
10/16/2015,50.21,50.7,49.31,50.46,225.96,0.0359
10/15/2015,49.01,49.38,48.21,48.71,16.79,-0.009
10/14/2015,49.22,49.52,48.71,49.15,63.28,-0.0018
10/13/2015,50.27,50.7,48.88,49.24,108.37,-0.0124
10/12/2015,52.64,53.31,49.77,49.86,166.79,-0.053
10/09/2015,53.35,54.05,52.21,52.65,174.34,-0.0075
10/08/2015,51.76,53.52,51.28,53.05,219.94,0.0335
10/07/2015,52.15,53.15,51.21,51.33,299.91,-0.0114
10/06/2015,49.35,52.26,48.86,51.92,303.58,0.0542
10/05/2015,48.08,49.87,47.84,49.25,215.45,0.0233
10/02/2015,47.99,48.5,46.93,48.13,201.59,0.0092
10/01/2015,48.4,49.84,47.62,47.69,239.32,-0.0141
09/30/2015,47.96,49,47.79,48.37,219.89,0.0029
09/29/2015,47.45,48.65,47.25,48.23,181.41,0.0188
09/28/2015,48.34,48.44,47.25,47.34,188.28,-0.0259
09/25/2015,48.17,49.1,47.86,48.6,189.4,0.0089
09/24/2015,47.88,48.47,47.4,48.17,198.04,0.0088
09/23/2015,49.08,50.25,47.68,47.75,232.26,-0.0271
09/22/2015,48.5,49.21,47.7,49.08,185.41,0.0033
09/21/2015,47.64,48.99,47.48,48.92,179.9,0.0305
09/18/2015,49.26,49.75,47.16,47.47,225.72,-0.0328
09/17/2015,49.98,50.14,48.32,49.08,228.86,-0.0135
09/16/2015,48.06,50.34,47.71,49.75,288.33,0.0669
09/15/2015,46.65,46.9,45.98,46.63,18.46,0.0056
09/14/2015,48.08,48.35,46.26,46.37,104.06,-0.0368
09/11/2015,48.64,48.98,47.16,48.14,143.41,-0.0153
09/10/2015,47.46,48.95,46.76,48.89,192.42,0.0275
09/09/2015,49.39,50.04,47.32,47.58,173.22,-0.0392
09/08/2015,47.76,49.85,47.64,49.52,253.29,0.0397
09/07/2015,49.27,49.44,47.5,47.63,94.8,-0.0399
09/04/2015,50.69,51.05,49.25,49.61,221.22,-0.0211
09/03/2015,50.58,52.46,49.82,50.68,270.54,0.0036
09/02/2015,48.62,51,47.74,50.5,324.84,0.019
09/01/2015,52.92,53.47,48.47,49.56,373.64,-0.0848
08/31/2015,50.05,54.32,48.25,54.15,321.32,0.0819
08/28/2015,47.4,50.98,46.61,50.05,418.78,0.0524
08/27/2015,43.75,47.75,43.7,47.56,333.7,0.1025
08/26/2015,43.32,43.76,42.81,43.14,267.56,-0.0016
08/25/2015,42.79,44.5,42.68,43.21,292.1,0.0122
08/24/2015,45.35,45.46,42.23,42.69,305.73,-0.0609
08/21/2015,46.34,46.51,45.07,45.46,231.8,-0.0249
08/20/2015,47.03,47.38,46.03,46.62,221.54,-0.0115
08/19/2015,48.5,49.11,46.78,47.16,250.81,-0.0338
08/18/2015,48.55,49.04,48.25,48.81,191.53,0.0014
08/17/2015,48.76,49.44,48.35,48.74,195.61,-0.0059
08/14/2015,49.11,49.52,48.8,49.03,21.37,-0.0039
08/13/2015,49.82,50.39,48.85,49.22,115.92,-0.0089
08/12/2015,49.38,50.01,48.72,49.66,153.81,0.0098
08/11/2015,50.22,51.1,48.61,49.18,223.21,-0.0244
08/10/2015,48.43,50.49,48.24,50.41,208.26,0.037
08/07/2015,49.62,50.06,48.42,48.61,245.82,-0.0184
08/06/2015,49.72,49.83,48.88,49.52,236.36,-0.0014
08/05/2015,50.14,50.99,49.02,49.59,280.76,-0.008
08/04/2015,49.7,50.45,49.58,49.99,221.65,0.0095
08/03/2015,51.55,52.01,49.36,49.52,306.5,-0.0515
07/31/2015,53.43,53.47,51.63,52.21,212.82,-0.0206
07/30/2015,53.6,54.38,53.02,53.31,217.29,-0.0013
07/29/2015,52.99,54.33,52.51,53.38,290.43,0.0015
07/28/2015,53.08,54.08,52.28,53.3,290.6,-0.0032
07/27/2015,54.45,54.89,52.83,53.47,226.37,-0.0211
07/24/2015,55.39,55.6,54.3,54.62,195.04,-0.0118
07/23/2015,56.04,56.53,55.1,55.27,207.13,-0.0153
07/22/2015,56.88,56.9,55.92,56.13,221.46,-0.016
07/21/2015,56.55,57.44,56.33,57.04,188.88,0.0069
07/20/2015,57.12,57.44,56.33,56.65,161.06,-0.0079
07/17/2015,56.93,57.35,56.4,57.1,157.13,-0.0071
07/16/2015,57.31,58.21,56.95,57.51,14.29,0.0081
07/15/2015,58.63,58.81,56.86,57.05,79.69,-0.025
07/14/2015,57.71,58.82,56.43,58.51,143.12,0.0114
07/13/2015,58.35,58.83,56.84,57.85,176.81,-0.015
07/10/2015,58.49,59.66,57.86,58.73,154.37,0.002
07/09/2015,57.1,59.27,57.01,58.61,277.59,0.0273
07/08/2015,57.25,57.75,55.87,57.05,301.11,0.0035
07/07/2015,56.85,57.83,55.1,56.85,331.59,0.0055
07/06/2015,60,60,56.38,56.54,294.89,-0.0627
07/03/2015,61.73,62.06,60.12,60.32,107.25,-0.0282
07/02/2015,61.92,63.2,61.75,62.07,206,0.001
07/01/2015,63.02,63.35,61.84,62.01,266.62,-0.0248
06/30/2015,61.77,63.83,61.71,63.59,256.88,0.0255
06/29/2015,62.85,62.96,61.35,62.01,266.55,-0.0198
06/26/2015,63.34,63.62,62.5,63.26,212.12,0.0009
06/25/2015,63.5,63.95,62.72,63.2,213.75,-0.0046
06/24/2015,64.66,65.05,63.01,63.49,256.39,-0.0149
06/23/2015,63.21,64.89,62.76,64.45,266.02,0.0175
06/22/2015,62.57,63.74,62.1,63.34,216.39,0.0051
06/19/2015,64.2,64.56,62.34,63.02,216.17,-0.0193
06/18/2015,63.74,64.96,63.44,64.26,217.21,0.0061
06/17/2015,63.6,65.47,62.6,63.87,331.88,0.0027
06/16/2015,63.8,64.41,63.42,63.7,279.74,0.0174
06/15/2015,63.62,63.96,62.24,62.61,26.68,-0.0197
06/12/2015,64.87,64.95,63.68,63.87,101.41,-0.019
06/11/2015,65.57,66.06,64.5,65.11,113.46,-0.009
06/10/2015,65.04,66.36,64.88,65.7,210.4,0.0126
06/09/2015,62.81,65.23,62.72,64.88,223.36,0.0349
06/08/2015,63.06,63.38,62.47,62.69,205.4,-0.0098
06/05/2015,62.08,63.43,60.94,63.31,248.87,0.0206
06/04/2015,63.81,64.08,61.78,62.03,235.21,-0.0277
06/03/2015,65.38,65.4,63.5,63.8,262.66,-0.0258
06/02/2015,64.9,65.88,64.58,65.49,245.91,0.0094
06/01/2015,65.59,65.8,64.25,64.88,217.98,-0.0104
05/29/2015,62.89,65.83,62.68,65.56,278.46,0.0476
05/28/2015,62.2,62.95,61.24,62.58,238.59,0.0084
05/27/2015,63.89,64.67,61.96,62.06,257.06,-0.0261
05/26/2015,65.7,65.7,63.29,63.72,224.13,-0.0275
05/25/2015,65.56,66.22,64.72,65.52,41.14,0.0023
05/22/2015,66.59,66.64,65.1,65.37,184.55,-0.0176
05/21/2015,64.89,66.88,64.83,66.54,250.91,0.0232
05/20/2015,64.49,65.18,64.1,65.03,210.4,0.0158
05/19/2015,66.19,66.39,63.95,64.02,253.35,-0.034
05/18/2015,66.91,67.88,65.92,66.27,198.22,-0.0081
05/15/2015,66.75,67,65.37,66.81,206.14,0.0033
05/14/2015,66.54,67.29,66.25,66.59,23.19,-0.0033
05/13/2015,67.32,68.17,66.41,66.81,120.83,-0.0007
05/12/2015,64.77,67.46,64.68,66.86,183.27,0.03
05/11/2015,65.37,65.75,64.25,64.91,202.51,-0.0073
05/08/2015,65.64,66.12,64.23,65.39,248.59,-0.0023
05/07/2015,67.37,68.49,65.17,65.54,292.89,-0.0329
